Hudson Yards Wide,COST - MONTHLY COST REPORTS,HY Cost Summary January 2018 JC.xlsx,Internal Monthly,Hudson Yards Wide January 2018 Cost Summary,2018,January,2018,January
Hudson Yards Wide,COST - MONTHLY COST REPORTS,Jan'18 HY Cost Report.pdf,Internal Monthly,Hudson Yards Wide January 2018 Cost Report,2018,January,2018,January
10 Hudson Yards (Tower C),COST - MONTHLY COST REPORTS,10 HY Tower C - Financial Report-Lender - Jan 2018.pdf,Internal Monthly,Tower C Lender Financial Report,2018,January,2018,January
10 Hudson Yards (Tower C),COST - MONTHLY COST REPORTS,10 HY Tower C & Terra Firma - Financial Report - Jan 2018.pdf,Internal Monthly,Tower C & Terra Firma January 2018 Financial Report,2018,January,2018,January
10 Hudson Yards (Tower C),COST - MONTHLY COST REPORTS,10 HY Tower C & Terra Firma - Financial Report - Jan 2018.xlsx,Internal Monthly,Tower C & Terra Firma January 2018 Financial Report,2018,January,2018,January
15 Hudson Yards (Tower D),COST - MONTHLY COST REPORTS,15 HY Tower D - Financial Report - Jan 2018.pdf,Internal Monthly,Tower D January 2018 Financial Report,2018,January,2018,January
15 Hudson Yards (Tower D),COST - MONTHLY COST REPORTS,15 HY Tower D - Financial Report - Jan 2018.xlsx,Internal Monthly,Tower D January 2018 Financial Report,2018,January,2018,January
15 Hudson Yards (Tower D),COST - MONTHLY COST REPORTS,15 HY Tower D - Financial Report - Lender - Jan 2018.pdf,Internal Monthly,Tower D January 2018 Lender Financial Report,2018,January,2018,January
15 Hudson Yards (Tower D),COST - MONTHLY COST REPORTS,15 HY Tower D - Financial Report - Lender - Jan 2018.xlsx,Internal Monthly,Tower D January 2018 Lender Financial Report,2018,January,2018,January
20 Hudson Yards - Retail C&S (Tower B),COST - MONTHLY COST REPORTS,January - Internal Retail ACR Reporting Final.pdf,Internal Monthly,Tower B Retail January 2018 ACR Final Reporting,2018,January,2018,January
20 Hudson Yards - Retail C&S (Tower B),COST - MONTHLY COST REPORTS,January - Internal Retail ACR Reporting Final.xlsx,Internal Monthly,Tower B Retail January 2018 ACR Final Reporting,2018,January,2018,January
20 Hudson Yards - CoGen,COST - MONTHLY COST REPORTS,CoGen_Financials MASTER FILE_January 2018_V1.xlsx,Internal Monthly,CoGen January 2018 Financial Master File,2018,January,2018,January
20 Hudson Yards - CoGen,COST - MONTHLY COST REPORTS,CoGen_Full Cost Report_January 2018_V1.pdf,Internal Monthly,CoGen January 2018 Full Cost Report V1,2018,January,2018,January
20 Hudson Yards - CoGen,COST - MONTHLY COST REPORTS,Change Event Log by Cost Code  with Reason Code - 201801181606.xls,Working Documents,CoGen Change Event Log by Cost Code with Reason Code,2018,January,2018,January
20 Hudson Yards - CoGen,COST - MONTHLY COST REPORTS,Cogen Cash Flow 1.14.18 - R1 AA.xlsx,Working Documents,CoGen Cash Flow ,2018,January,2018,January
20 Hudson Yards - CoGen,COST - MONTHLY COST REPORTS,CoGen_ACR_January 2018.pdf,Working Documents,CoGen January 2018 ACR,2018,January,2018,January
